City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Kaitangata,AU,-35.2813,149.1292,292.62,67,90,4.12
130,Saleaula,AU,-35.2813,149.1292,292.29,67,100,4.12
131,Pemangkat,AU,-35.2813,149.1292,292.62,67,90,4.12
132,Puerto El Triunfo,AU,-35.2813,149.1292,292.29,67,100,4.12
133,Rio Gallegos,AU,-35.2813,149.1292,292.62,66,100,4.12
134,Barentsburg,AU,-35.2813,149.1292,292.62,67,90,4.12
135,Laguna,AU,-35.2813,149.1292,292.62,66,100,4.12
136,Urengoy,AU,-35.2813,149.1292,292.29,67,100,4.12
137,Tarkwa,AU,-35.2813,149.1292,292.29,67,100,4.12
138,Vidalia,AU,-35.2813,149.1292,292.29,67,100,4.12
139,El Estor,AU,-35.2813,149.1292,292.29,67,100,4.12
140,Avarua,AU,-35.2813,149.1292,292.29,67,100,4.12
141,Luanda,AU,-35.2813,149.1292,292.29,67,100,4.12
142,Dauriya,AU,-35.2813,149.1292,292.62,67,90,4.12
143,Houston,AU,-35.2813,149.1292,292.29,67,100,4.12
144,Carlisle,AU,-35.2813,149.1292,292.62,67,90,4.12
145,Margate,AU,-35.2813,149.1292,292.62,66,100,4.12
146,Sumkino,AU,-35.2813,149.1292,292.62,67,90,4.12
147,Sahrak,AU,-35.2813,149.1292,292.29,67,100,4.12
148,Alice Springs,AU,-35.2813,149.1292,292.29,67,100,4.12
149,East London,AU,-35.2813,149.1292,292.29,67,100,4.12
150,Esperance,AU,-35.2813,149.1292,292.62,66,100,4.12
151,Oppdal,AU,-35.2813,149.1292,292.62,66,100,4.12
152,Ribeira Grande,AU,-35.2813,149.1292,292.62,66,100,4.12
153,Muros,AU,-35.2813,149.1292,292.62,66,100,4.12
154,Ubinskoye,AU,-35.2813,149.1292,292.62,66,100,4.12
155,Martapura,AU,-35.2813,149.1292,292.62,66,100,4.12
156,Touros,AU,-35.2813,149.1292,292.62,66,100,4.12
157,Dukhovshchina,AU,-35.2813,149.1292,292.62,66,100,4.12
158,Pangnirtung,AU,-35.2813,149.1292,292.62,66,100,4.12
159,Hambantota,AU,-35.2813,149.1292,292.62,66,100,4.12
160,Klaksvik,AU,-35.2813,149.1292,292.62,66,100,4.12
161,Vardo,AU,-35.2813,149.1292,292.62,66,100,4.12
162,Niamtougou,AU,-35.2813,149.1292,292.62,66,100,4.12
163,Guaruja,AU,-35.2813,149.1292,292.62,66,100,4.12
164,Attawapiskat,AU,-35.2813,149.1292,292.62,66,100,4.12
165,Sarangani,AU,-35.2813,149.1292,292.62,66,100,4.12
166,Manakara,AU,-35.2813,149.1292,292.62,66,100,4.12
167,Orel-Izumrud,AU,-35.2813,149.1292,292.62,66,100,4.12
168,Sinnamary,AU,-35.2813,149.1292,292.62,66,100,4.12
169,Carnarvon,AU,-35.2813,149.1292,292.62,66,100,4.12
170,Sitka,AU,-35.2813,149.1292,292.62,66,100,4.12
171,Vaini,AU,-35.2813,149.1292,292.62,66,100,4.12
172,Misratah,AU,-35.2813,149.1292,292.62,66,100,4.12
173,Sentyabrskiy,AU,-35.2813,149.1292,292.62,66,100,4.12
174,Byron Bay,AU,-35.2813,149.1292,292.62,66,100,4.12
175,Male,AU,-35.2813,149.1292,292.62,66,100,4.12
176,Chuy,AU,-35.2813,149.1292,292.62,66,100,4.12
177,Kenai,AU,-35.2813,149.1292,292.62,66,100,4.12
178,Sassandra,AU,-35.2813,149.1292,292.62,66,100,4.12
179,Faya,AU,-35.2813,149.1292,292.62,66,100,4.12
180,Luderitz,AU,-35.2813,149.1292,292.62,66,100,4.12
181,Belushya Guba,AU,-35.2813,149.1292,292.62,66,100,4.12
182,Puerto Del Rosario,AU,-35.2813,149.1292,292.62,66,100,4.12
183,Kieta,AU,-35.2813,149.1292,292.62,66,100,4.12
184,Vaitupu,AU,-35.2813,149.1292,292.62,66,100,4.12
185,Iqaluit,AU,-35.2813,149.1292,292.62,66,100,4.12
186,Kegayli,AU,-35.2813,149.1292,292.62,66,100,4.12
187,Ndele,AU,-35.2813,149.1292,292.62,66,100,4.12
188,Kruisfontein,AU,-35.2813,149.1292,292.62,66,100,4.12
189,Tsihombe,AU,-35.2813,149.1292,292.62,66,100,4.12
190,Nizhneyansk,AU,-35.2813,149.1292,292.62,66,100,4.12
191,Chokurdakh,AU,-35.2813,149.1292,292.62,66,100,4.12
192,Bousse,AU,-35.2813,149.1292,292.62,66,100,4.12
193,Hermanus,AU,-35.2813,149.1292,292.62,66,100,4.12
194,Dunning,AU,-35.2813,149.1292,292.62,66,100,4.12
195,Codrington,AU,-35.2813,149.1292,292.62,66,100,4.12
196,Samarai,AU,-35.2813,149.1292,292.62,66,100,4.12
197,Saurimo,AU,-35.2813,149.1292,292.62,66,100,4.12
198,Pyay,AU,-35.2813,149.1292,292.62,66,100,4.12
199,Axim,AU,-35.2813,149.1292,292.62,66,100,4.12
200,Mys Shmidta,AU,-35.2813,149.1292,292.62,66,100,4.12
201,Saldanha,AU,-35.2813,149.1292,292.62,66,100,4.12
202,Malpe,AU,-35.2813,149.1292,292.62,66,100,4.12
203,Lagoa,AU,-35.2813,149.1292,292.62,66,100,4.12
204,Algiers,AU,-35.2813,149.1292,292.62,66,100,4.12
205,Yar-Sale,AU,-35.2813,149.1292,292.62,66,100,4.12
206,Mergui,AU,-35.2813,149.1292,292.62,66,100,4.12
207,Port Hedland,AU,-35.2813,149.1292,292.62,66,100,4.12
208,Faanui,AU,-35.2813,149.1292,292.62,66,100,4.12
209,Rabo De Peixe,AU,-35.2813,149.1292,292.62,66,100,4.12
210,Hithadhoo,AU,-35.2813,149.1292,292.62,66,100,4.12
211,Vila Velha,AU,-35.2813,149.1292,292.62,66,100,4.12
212,Korla,AU,-35.2813,149.1292,292.62,66,100,4.12
213,Provideniya,AU,-35.2813,149.1292,292.62,66,100,4.12
214,Dubbo,AU,-35.2813,149.1292,292.62,66,100,4.12
215,Bajo Baudo,AU,-35.2813,149.1292,292.62,66,100,4.12
216,Santa Cruz,AU,-35.2813,149.1292,292.62,66,100,4.12
217,Monrovia,AU,-35.2813,149.1292,292.62,66,100,4.12
218,Abu Kamal,AU,-35.2813,149.1292,292.62,66,100,4.12
219,Padang,AU,-35.2813,149.1292,292.62,66,100,4.12
220,Taoudenni,AU,-35.2813,149.1292,292.62,66,100,4.12
221,Margherita Di Savoia,AU,-35.2813,149.1292,292.62,66,100,4.12
222,Nouadhibou,AU,-35.2813,149.1292,292.62,66,100,4.12
223,Oxapampa,AU,-35.2813,149.1292,292.62,66,100,4.12
224,Evensk,AU,-35.2813,149.1292,292.62,66,100,4.12
225,Beira,AU,-35.2813,149.1292,292.62,66,100,4.12
226,Plettenberg Bay,AU,-35.2813,149.1292,292.62,66,100,4.12
227,Lawrence,AU,-35.2813,149.1292,292.62,66,100,4.12
228,Mar Del Plata,AU,-35.2813,149.1292,292.62,66,100,4.12
229,Strezhevoy,AU,-35.2813,149.1292,292.62,66,100,4.12
230,Marrakesh,AU,-35.2813,149.1292,292.62,66,100,4.12
231,Beitbridge,AU,-35.2813,149.1292,292.62,66,100,4.12
232,Tyup,AU,-35.2813,149.1292,292.62,66,100,4.12
233,Saint-Philippe,AU,-35.2813,149.1292,292.62,66,100,4.12
234,Olinda,AU,-35.2813,149.1292,292.62,66,100,4.12
235,Roma,AU,-35.2813,149.1292,292.62,66,100,4.12
236,Tura,AU,-35.2813,149.1292,292.62,66,100,4.12
237,Chapais,AU,-35.2813,149.1292,292.62,66,100,4.12
238,Louisbourg,AU,-35.2813,149.1292,292.62,66,100,4.12
239,Marsa Matruh,AU,-35.2813,149.1292,292.62,66,100,4.12
240,Hamilton,AU,-35.2813,149.1292,292.62,66,100,4.12
241,Fort Nelson,AU,-35.2813,149.1292,292.62,66,100,4.12
242,Abu Samrah,AU,-35.2813,149.1292,292.62,66,100,4.12
243,Sorland,AU,-35.2813,149.1292,292.62,66,100,4.12
244,Daoukro,AU,-35.2813,149.1292,292.62,66,100,4.12
245,Motril,AU,-35.2813,149.1292,292.62,66,100,4.12
246,Joaima,AU,-35.2813,149.1292,292.62,66,100,4.12
247,Am Timan,AU,-35.2813,149.1292,292.62,66,100,4.12
248,Hofn,AU,-35.2813,149.1292,292.62,66,100,4.12
249,Magugu,AU,-35.2813,149.1292,292.62,66,100,4.12
250,Barrow,AU,-35.2813,149.1292,292.62,66,100,4.12
251,Wellington,AU,-35.2813,149.1292,292.62,66,100,4.12
252,Kandi,AU,-35.2813,149.1292,292.62,66,100,4.12
253,Ejura,AU,-35.2813,149.1292,292.62,66,100,4.12
254,Namwala,AU,-35.2813,149.1292,292.62,66,100,4.12
255,Stromness,AU,-35.2813,149.1292,292.62,66,100,4.12
256,Hulin,AU,-35.2813,149.1292,292.62,66,100,4.12
257,Filingue,AU,-35.2813,149.1292,292.62,66,100,4.12
258,Neiafu,AU,-35.2813,149.1292,292.62,66,100,4.12
259,Tezu,AU,-35.2813,149.1292,292.62,66,100,4.12
260,Havre-Saint-Pierre,AU,-35.2813,149.1292,292.62,66,100,4.12
261,Baglan,AU,-35.2813,149.1292,292.62,66,100,4.12
262,Grindavik,AU,-35.2813,149.1292,292.62,66,100,4.12
263,Tuatapere,AU,-35.2813,149.1292,292.62,66,100,4.12
264,Oruro,AU,-35.2813,149.1292,292.62,66,100,4.12
265,Bilma,AU,-35.2813,149.1292,292.62,66,100,4.12
266,Lincoln,AU,-35.2813,149.1292,292.62,66,100,4.12
267,Fortuna,AU,-35.2813,149.1292,292.62,66,100,4.12
268,Yugorsk,AU,-35.2813,149.1292,292.62,66,100,4.12
269,Hailey,AU,-35.2813,149.1292,292.62,66,100,4.12
270,Severo-Kurilsk,AU,-35.2813,149.1292,292.62,66,100,4.12
271,Fare,AU,-35.2813,149.1292,292.62,66,100,4.12
272,Takoradi,AU,-35.2813,149.1292,292.62,66,100,4.12
273,Mbuji-Mayi,AU,-35.2813,149.1292,292.62,66,100,4.12
274,Hami,AU,-35.2813,149.1292,292.62,66,100,4.12
275,Verkhoyansk,AU,-35.2813,149.1292,292.62,66,100,4.12
276,Lashio,AU,-35.2813,149.1292,292.62,66,100,4.12
277,Kavieng,AU,-35.2813,149.1292,292.62,66,100,4.12
278,Canberra,AU,-35.2813,149.1292,292.62,66,100,4.12
279,Sovetskiy,AU,-35.2813,149.1292,292.62,66,100,4.12
280,General Roca,AU,-35.2813,149.1292,292.62,66,100,4.12
281,Kahului,AU,-35.2813,149.1292,292.62,66,100,4.12
282,Alta Floresta,AU,-35.2813,149.1292,292.62,66,100,4.12
283,Namibe,AU,-35.2813,149.1292,292.62,66,100,4.12
284,Paracuru,AU,-35.2813,149.1292,292.62,66,100,4.12
285,Jiuquan,AU,-35.2813,149.1292,292.62,66,100,4.12
286,Portland,AU,-35.2813,149.1292,292.62,66,100,4.12
287,Ambilobe,AU,-35.2813,149.1292,292.62,66,100,4.12
288,Emerald,AU,-35.2813,149.1292,292.62,66,100,4.12
289,Flinders,AU,-35.2813,149.1292,292.62,66,100,4.12
290,Mackay,AU,-35.2813,149.1292,292.62,66,100,4.12
291,Camopi,AU,-35.2813,149.1292,292.62,66,100,4.12
292,Nsanje,AU,-35.2813,149.1292,292.62,66,100,4.12
293,Khartoum,AU,-35.2813,149.1292,292.62,66,100,4.12
294,Catacamas,AU,-35.2813,149.1292,292.62,66,100,4.12
295,Bangaon,AU,-35.2813,149.1292,292.62,66,100,4.12
296,Mozelos,AU,-35.2813,149.1292,292.62,66,100,4.12
297,Hasaki,AU,-35.2813,149.1292,292.62,66,100,4.12
298,Lorengau,AU,-35.2813,149.1292,292.62,66,100,4.12
299,Luwuk,AU,-35.2813,149.1292,292.62,66,100,4.12
300,Santa Isabel,AU,-35.2813,149.1292,292.62,66,100,4.12
301,Palabuhanratu,AU,-35.2813,149.1292,292.62,66,100,4.12
302,Maymanak,AU,-35.2813,149.1292,292.62,66,100,4.12
303,Quelimane,AU,-35.2813,149.1292,292.62,66,100,4.12
304,Haibowan,AU,-35.2813,149.1292,292.62,66,100,4.12
305,Chicama,AU,-35.2813,149.1292,292.62,66,100,4.12
306,Katsuura,AU,-35.2813,149.1292,292.62,66,100,4.12
307,La Ronge,AU,-35.2813,149.1292,292.62,66,100,4.12
308,Buqayq,AU,-35.2813,149.1292,292.62,66,100,4.12
309,Doha,AU,-35.2813,149.1292,292.62,66,100,4.12
310,Necaxa,AU,-35.2813,149.1292,292.62,66,100,4.12
311,Takefu,AU,-35.2813,149.1292,292.62,66,100,4.12
312,Kutum,AU,-35.2813,149.1292,292.62,66,100,4.12
313,Ketchikan,AU,-35.2813,149.1292,292.62,66,100,4.12
314,Saint Anthony,AU,-35.2813,149.1292,292.62,66,100,4.12
315,Sao Felix Do Xingu,AU,-35.2813,149.1292,292.62,66,100,4.12
316,Saint-Augustin,AU,-35.2813,149.1292,292.62,66,100,4.12
317,Bukavu,AU,-35.2813,149.1292,292.62,66,100,4.12
318,Port Alfred,AU,-35.2813,149.1292,292.62,66,100,4.12
319,Tiksi,AU,-35.2813,149.1292,292.62,66,100,4.12
320,Vilyuysk,AU,-35.2813,149.1292,292.62,66,100,4.12
321,Sioux Lookout,AU,-35.2813,149.1292,292.62,66,100,4.12
322,Saint-Pierre,AU,-35.2813,149.1292,292.62,66,100,4.12
323,Havre,AU,-35.2813,149.1292,292.62,66,100,4.12
324,Semey,AU,-35.2813,149.1292,292.62,66,100,4.12
325,Buchanan,AU,-35.2813,149.1292,292.62,66,100,4.12
